requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;10;2;['F6'];5;
2;5;4;['F4', 'F6', 'F2'];5;
3;9;7;['F2', 'F6', 'F5', 'F4'];5;
4;20;4;['F5', 'F6'];5;
5;1;10;['F4'];5;
6;11;6;['F1', 'F3', 'F2', 'F4'];5;
7;11;4;['F4', 'F3'];5;
8;20;13;['F3', 'F6', 'F4'];5;
9;3;20;['F5', 'F4', 'F6'];5;
10;20;13;['F4', 'F5', 'F2', 'F6'];5;
11;19;2;['F5', 'F6'];5;
12;25;13;['F3', 'F6', 'F2'];5;
13;5;17;['F5', 'F2', 'F1', 'F4'];5;
14;4;23;['F3', 'F4', 'F6'];5;
15;12;14;['F3'];5;
16;9;4;['F6', 'F4', 'F1', 'F5'];5;
17;7;4;['F6', 'F1'];5;
18;2;22;['F4', 'F5'];5;
19;25;2;['F6', 'F5', 'F2', 'F1'];5;
20;12;16;['F6'];5;
21;5;7;['F2'];5;
22;17;20;['F4', 'F1', 'F2'];5;
23;18;4;['F2', 'F1', 'F4', 'F5'];5;
24;13;22;['F3', 'F5'];5;
25;7;21;['F4', 'F6'];5;
26;4;6;['F6', 'F1'];5;
27;19;13;['F1', 'F5', 'F3'];5;
28;7;3;['F4', 'F6', 'F3', 'F1'];5;
29;17;22;['F1', 'F2', 'F4'];5;
30;25;2;['F5', 'F1', 'F4'];5;
31;22;9;['F5', 'F1', 'F2'];5;
32;17;2;['F1', 'F2', 'F5', 'F4'];5;
33;22;16;['F3', 'F2', 'F5', 'F4'];5;
34;3;1;['F3', 'F5', 'F2', 'F6'];5;
35;4;15;['F1', 'F4', 'F3'];5;
36;8;23;['F1', 'F2', 'F4'];5;
37;17;11;['F5', 'F1'];5;
38;9;14;['F2', 'F6', 'F1', 'F3'];5;
39;25;16;['F2', 'F4'];5;
40;10;2;['F3', 'F5', 'F6', 'F1'];5;
41;20;9;['F1', 'F6'];5;
42;13;20;['F5', 'F4', 'F2'];5;
43;14;5;['F2', 'F6'];5;
44;3;1;['F5', 'F3'];5;
45;15;1;['F5', 'F6'];5;
46;6;14;['F4', 'F5', 'F2'];5;
47;13;7;['F3', 'F4', 'F5', 'F2'];5;
48;23;15;['F4', 'F2'];5;
49;3;19;['F3'];5;
50;9;1;['F2', 'F1', 'F5', 'F3'];5;
