requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;3;11;['F5', 'F4'];5
2;10;18;['F3'];5
3;12;5;['F2', 'F1'];5
4;15;13;['F3', 'F2', 'F1', 'F5'];5
5;5;14;['F4'];5
6;15;3;['F2', 'F6', 'F4'];5
7;19;16;['F2'];5
8;5;17;['F3'];5
9;5;10;['F1', 'F6'];5
10;11;2;['F6', 'F2', 'F1', 'F5', 'F3'];5
11;5;1;['F5', 'F4', 'F6'];5
12;17;3;['F1', 'F5'];5
13;3;4;['F1', 'F2', 'F5', 'F6'];5
14;9;16;['F6', 'F1', 'F3', 'F4'];5
15;4;8;['F1', 'F6', 'F4'];5
16;19;20;['F1', 'F6', 'F2'];5
17;18;1;['F1', 'F6'];5
18;10;6;['F1', 'F2'];5
19;20;10;['F5', 'F1', 'F3'];5
20;15;1;['F4'];5
21;10;16;['F1'];5
22;10;7;['F6', 'F2', 'F5', 'F1', 'F3'];5
23;6;8;['F1', 'F3', 'F2'];5
24;7;3;['F1', 'F6', 'F2'];5
25;20;10;['F5', 'F4', 'F1', 'F2'];5
26;8;6;['F4', 'F1', 'F3'];5
27;14;13;['F1', 'F2', 'F6'];5
28;11;16;['F4', 'F5', 'F1', 'F2', 'F6'];5
29;2;7;['F5'];5
30;15;1;['F5', 'F6', 'F1'];5
31;19;9;['F6', 'F1', 'F5', 'F4'];5
32;6;16;['F4', 'F1', 'F2'];5
33;19;17;['F5', 'F2'];5
34;4;18;['F1', 'F5', 'F3'];5
35;4;3;['F3', 'F4', 'F1'];5
36;5;13;['F6', 'F2', 'F5', 'F1'];5
37;9;16;['F1', 'F3', 'F4'];5
38;14;6;['F2'];5
39;10;1;['F1', 'F3', 'F5', 'F6'];5
40;1;12;['F6', 'F4'];5
41;4;20;['F6', 'F4', 'F3'];5
42;11;10;['F4', 'F2', 'F6'];5
43;18;19;['F2', 'F4', 'F1'];5
44;11;3;['F3', 'F1'];5
45;13;19;['F4', 'F5'];5
46;11;14;['F5', 'F1', 'F6', 'F3'];5
47;4;17;['F2'];5
48;8;19;['F5', 'F3', 'F2', 'F4', 'F1'];5
49;16;7;['F6'];5
50;20;19;['F2', 'F5'];5
51;5;18;['F3', 'F2', 'F5', 'F1'];5
